num_people_hourly,datetime_hr,hour,timeofday,daydate,dayoftheweek,month,is_weekend,Is_1wk_sem,Is_2wk_sem,Is_lastwk_sem,Is_2ndlastwk_sem,is_start_of_semester,is_end_of_semester,is_during_semester,is_school_closed,NewYearsDay,MLKingsBirthday,PresidentsDay,MemorialDay,IndependenceDay,LaborDay,VeteransDay,USThanksgivingDay,ChristmasDay,is_Holiday,Semester_week_num,semester,temperature,season,temp_feels,capacity
0,2015-08-15 1:00,1,ZombieHour,2015-08-15,Saturday,Aug,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,19.06666667,Summer,Comfortable,Nearly_Empty
0,2015-08-16 0:00,0,Midnight,2015-08-16,Sunday,Aug,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,18.76111111,Summer,Comfortable,Nearly_Empty
0,2015-08-16 1:00,1,ZombieHour,2015-08-16,Sunday,Aug,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,18.71666667,Summer,Comfortable,Nearly_Empty
0,2015-08-16 5:00,5,Dawn,2015-08-16,Sunday,Aug,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,18.17777778,Summer,Comfortable,Nearly_Empty
0,2015-08-16 6:00,6,Dawn,2015-08-16,Sunday,Aug,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,18.44444444,Summer,Comfortable,Nearly_Empty
0,2015-08-18 5:00,5,Dawn,2015-08-18,Tuesday,Aug,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,School_closed,16.51666667,Summer,Comfortable,Nearly_Empty
0,2015-08-22 0:00,0,Midnight,2015-08-22,Saturday,Aug,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1st_Week,During_semester,16.66666667,Summer,Comfortable,Nearly_Empty
0,2015-08-22 1:00,1,ZombieHour,2015-08-22,Saturday,Aug,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1st_Week,During_semester,16.66666667,Summer,Comfortable,Nearly_Empty
0,2015-08-23 0:00,0,Midnight,2015-08-23,Sunday,Aug,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1st_Week,During_semester,17.22222222,Summer,Comfortable,Nearly_Empty
0,2015-08-23 1:00,1,ZombieHour,2015-08-23,Sunday,Aug,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1st_Week,During_semester,16.96111111,Summer,Comfortable,Nearly_Empty
0,2015-08-23 5:00,5,Dawn,2015-08-23,Sunday,Aug,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1st_Week,During_semester,16.95,Summer,Comfortable,Nearly_Empty
0,2015-08-30 1:00,1,ZombieHour,2015-08-30,Sunday,Aug,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2nd_Week,During_semester,18.77777778,Summer,Comfortable,Nearly_Empty
0,2015-08-30 5:00,5,Dawn,2015-08-30,Sunday,Aug,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2nd_Week,During_semester,18.77777778,Summer,Comfortable,Nearly_Empty
0,2015-09-06 5:00,5,Dawn,2015-09-06,Sunday,Sep,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,During_Semester,During_semester,16.83888889,Fall,Comfortable,Nearly_Empty
