Id,Prediction
0,3729587.322
1,3230750.272
2,3545702.273
3,3681451.145
4,4161890.368
5,3806447.401
6,3291594.084
7,4406561.157
8,4817669.675
9,4080329.298
10,3863604.993
11,3545702.273
12,4790763.635
13,5438993.177
14,3636837.434
15,4552397.843
16,5665639.615
17,3900474.542
18,3695353.886
19,3951474.521
20,3376513.233
21,3701786.5
22,3985108.694
23,3945863.952
24,4392354.981
25,3624529.326
26,3270382.441
27,4048771.013
28,3654644.418
29,4259881.539
30,4640971.202
31,2929439.518
32,3308439.536
33,3652119.946
34,3681451.145
35,3792487.307
36,3836334.074
37,4796487.555
38,3230750.272
39,4111970.044
40,3844442.368
41,3806116.217
42,4215704.395
43,3663048.532
44,4304264.908
45,3756649.459
46,3308407.299
47,3033881.035
48,4370836.325
49,3756649.459
50,3901750.11
51,4579629.059
52,4052015.995
53,4052015.995
54,3504915.937
55,4521040.105
56,3732404.543
57,4395875.337
58,4006879.449
59,3756649.459
60,3230750.272
61,3868988.194
62,3591839.779
63,4228410.758
64,3638173.226
65,4207808.889
66,4080525.716
67,4263715.03
68,4879678.833
69,3713436.589
70,3504915.937
71,3636837.434
72,3504915.937
73,3679253.848
74,4981101.164
75,3732033.697
76,3945863.952
77,3973931.085
78,4016223.384
79,4303924.534
80,4053507.082
81,3743735.794
82,3896865.342
83,3802318.04
84,4750993.608
85,3230750.272
86,4130104.782
87,3493920.035
88,3800921.981
89,5512811.704
90,4594205.678
91,3308439.536
92,3393476.335
93,4238607.755
94,3945863.952
95,4053507.082
96,4371840.89
97,3624529.326
98,3871644.008
99,4291726.53
100,3724291.803
101,3230750.272
102,4099168.877
103,3612477.489
104,3268346.171
105,3093089.391
106,4327506.141
107,3724291.803
108,4573650.971
109,3545702.273
110,3232962.678
111,5827814.526
112,4450082.275
113,3535999.959
114,3270382.441
115,4594665.666
116,3681451.145
117,4204411.869
118,3681451.145
119,4126421.31
120,4031341.746
121,4389620.126
122,3570923.035
123,4775788.176
124,4210743.398
125,3370713.605
126,4097390.531
127,3504915.937
128,4796487.555
129,4578371.826
130,3393476.335
131,4395015.819
132,4297829.846
133,2832737.242
134,3598785.942
135,3228585.924
136,3986169.772
137,3929544.349
138,4462795.922
139,3681451.145
140,4796487.555
141,3724291.803
142,4451070.383
143,3049642.879
144,3713436.589
145,3286688.66
146,4052015.995
147,3281267.433
148,4086327.758
149,4498916.405
150,3612477.489
151,3268346.171
152,3958016.2
153,4378859.85
154,3636837.434
155,4075443.612
156,4267602.447
157,4707331.008
158,3840166.23
159,3504915.937
160,3991480.109
161,3959678.819
162,3165590.637
163,4763224.013
164,4296143.353
165,3722068.936
166,3929498.031
167,3756649.459
168,3230750.272
169,4234391.91
170,3504915.937
171,3624529.326
172,3394856.465
173,3268346.171
174,3945464.184
175,3114330.741
176,4573650.971
177,4016223.384
178,3255462.153
179,3624529.326
180,4505672.43
181,3545702.273
182,4263343.746
183,3972608.922
184,3234976.903
185,3504915.937
186,3049642.879
187,4573464.929
188,4744270.028
189,4259743.374
190,3817936.653
191,4425436.544
192,4176367.374
193,4735655.315
194,3107839.954
195,4275173.499
196,3623165.376
197,3393476.335
198,3758989.955
199,3504915.937
200,3440102.158
201,4028563.643
202,3724291.803
203,3748447.495
204,3868988.194
205,3756649.459
206,4325561.868
207,3368536.9
208,3464949.813
209,3504915.937
210,4551269.82
211,3900474.542
212,3756649.459
213,3638173.226
214,4247394.617
215,3014562.731
216,4127467.193
217,3487154.344
218,3504915.937
219,3545702.273
220,3756649.459
221,3598785.942
222,4474297.645
223,3620912.358
224,4052015.995
225,3895017.942
226,3884853.839
227,4739535.654
228,3744484.394
229,5469287.926
230,4354008.849
231,4674102.925
232,4934549.514
233,3230750.272
234,3545702.273
235,3900474.542
236,3610109.483
237,3504915.937
238,4073011.158
239,3247252.7
240,3531724.901
241,3308439.536
242,3620912.358
243,4028207.24
244,4658456.619
245,4725017.552
246,3951055.696
247,4358125.202
248,3850742.627
249,3545702.273
250,3417933.502
251,4750993.608
252,4053507.082
253,3744484.394
254,4210743.398
255,4370814.772
256,2760820.344
257,3756649.459
258,2875301.624
259,3612477.489
260,3939267.85
261,4735655.315
262,4178844.642
263,3209899.44
264,3393476.335
265,4598794.88
266,3883756.703
267,4587703.984
268,3514630.512
269,3581487.979
270,3570923.035
271,3432965.86
272,3623769.397
273,3966984.283
274,3624529.326
275,4573245.784
276,4806377.955
277,4012215.538
278,3724291.803
279,3400530.544
280,3713436.589
281,4228839.195
282,3794430.345
283,3612477.489
284,4052015.995
285,3014562.731
286,3982219.416
287,3876900.255
288,4447029.673
289,3781223.308
290,3944767.376
